洲別,國別,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_海青班,境外專班
亞洲,中國大陸,0,0,9327,0,0,6,32648,0,0
亞洲,馬來西亞,5044,7645,0,53,946,261,0,2215,147
亞洲,香港,0,8190,0,149,242,79,0,0,0
亞洲,日本,931,177,0,561,1486,4387,0,0,0
亞洲,澳門,0,5259,0,19,5,3,0,0,0
亞洲,印尼,1923,1208,0,113,197,1626,0,87,0
亞洲,越南,2807,358,0,34,277,1512,0,0,354
亞洲,南韓,668,188,0,708,441,2568,0,2,0
亞洲,泰國,544,240,0,146,246,595,0,0,0
亞洲,印度,933,0,0,27,87,246,0,0,0
亞洲,蒙古,670,0,0,3,8,152,0,0,0
亞洲,新加坡,107,89,0,127,396,78,0,0,0
亞洲,緬甸,73,494,0,0,73,48,0,25,0
亞洲,菲律賓,180,32,0,25,155,305,0,0,0
亞洲,俄羅斯,133,1,0,29,19,191,0,0,0
亞洲,土耳其,65,0,0,13,4,110,0,0,0
亞洲,伊朗,46,0,0,0,1,15,0,0,0
亞洲,約旦,29,5,0,0,1,27,0,0,0
亞洲,以色列,9,0,0,6,3,38,0,0,0
亞洲,尼泊爾,32,0,0,0,2,12,0,0,0
亞洲,巴基斯坦,34,0,0,0,6,4,0,0,0
亞洲,汶萊,6,16,0,3,4,0,0,5,0
亞洲,孟加拉,17,0,0,0,1,1,0,0,0
亞洲,伊拉克,13,0,0,0,0,6,0,0,0
亞洲,斯里蘭卡,13,1,0,0,1,4,0,0,0
亞洲,哈薩克,9,0,0,0,1,8,0,0,0
亞洲,吉爾吉斯,5,0,0,0,0,7,0,0,0
亞洲,烏茲別克,6,0,0,0,1,5,0,0,0
亞洲,柬埔寨,8,0,0,0,2,1,0,0,0
亞洲,不丹,1,0,0,0,0,8,0,0,0
亞洲,寮國,2,3,0,1,2,1,0,0,0
亞洲,葉門,2,2,0,0,0,3,0,0,0
亞洲,塔吉克,6,0,0,0,0,1,0,0,0
亞洲,巴勒斯坦,2,0,0,0,1,2,0,0,0
亞洲,亞美尼亞,0,0,0,1,1,2,0,0,0
亞洲,黎巴嫩,1,1,0,0,0,1,0,0,0
亞洲,沙烏地阿拉伯,0,1,0,0,0,2,0,0,0
亞洲,敘利亞,3,0,0,0,0,0,0,0,0
亞洲,土庫曼,3,0,0,0,0,0,0,0,0
亞洲,阿拉伯聯合大公國,0,2,0,0,0,0,0,0,0
亞洲,亞塞拜然,1,0,0,0,0,1,0,0,0
亞洲,巴林,0,1,0,0,0,0,0,0,0
亞洲,科威特,0,1,0,0,0,0,0,0,0
亞洲,摩爾多瓦,1,0,0,0,0,0,0,0,0
大洋洲,澳大利亞,30,12,0,32,158,223,0,0,0
大洋洲,索羅門群島,77,0,0,0,0,31,0,0,0
大洋洲,紐西蘭,6,24,0,6,2,57,0,0,0
大洋洲,吉里巴斯,45,0,0,0,0,27,0,0,0
大洋洲,帛琉,28,0,0,0,0,20,0,0,0
大洋洲,吐瓦魯,30,0,0,0,0,13,0,0,0
大洋洲,馬紹爾群島共和國,21,0,0,0,0,15,0,0,0
大洋洲,諾魯,12,1,0,0,0,12,0,0,0
大洋洲,巴布亞紐幾內亞,16,2,0,0,0,3,0,0,0
大洋洲,斐濟,0,3,0,0,2,0,0,0,0
非洲,史瓦濟蘭,210,2,0,0,0,76,0,0,0
非洲,甘比亞,139,0,0,0,0,20,0,0,0
非洲,布吉納法索,87,0,0,0,0,67,0,0,0
非洲,南非,36,61,0,0,1,48,0,0,0
非洲,衣索比亞,110,0,0,0,0,0,0,0,0
非洲,聖多美普林西比,44,0,0,0,0,24,0,0,0
非洲,馬拉威,42,2,0,0,0,4,0,0,0
非洲,埃及,16,1,0,0,2,16,0,0,0
非洲,奈及利亞,24,1,0,0,2,6,0,0,0
非洲,肯亞,16,0,0,1,0,4,0,0,0
非洲,摩洛哥,2,0,0,3,3,8,0,0,0
非洲,辛巴威,6,0,0,0,0,4,0,0,0
非洲,突尼西亞,1,0,0,2,2,3,0,0,0
非洲,烏干達,3,0,0,0,0,5,0,0,0
非洲,尚比亞,3,0,0,0,0,5,0,0,0
非洲,阿爾及利亞,1,0,0,1,1,3,0,0,0
非洲,象牙海岸,1,2,0,1,0,2,0,0,0
非洲,坦尚尼亞,6,0,0,0,0,0,0,0,0
非洲,查德,0,0,0,0,0,5,0,0,0
非洲,貝南,1,0,0,0,0,3,0,0,0
非洲,喀麥隆,4,0,0,0,0,0,0,0,0
非洲,剛果,3,0,0,0,0,1,0,0,0
非洲,模里西斯,1,1,0,0,1,1,0,0,0
非洲,塞內加爾,1,0,0,0,0,3,0,0,0
非洲,莫三比克,2,0,0,0,0,1,0,0,0
非洲,蘇丹,2,0,0,0,0,1,0,0,0
非洲,多哥,0,0,0,0,0,3,0,0,0
非洲,剛果民主共和國,1,0,0,0,0,2,0,0,0
非洲,索馬利蘭共和國,1,0,0,0,0,2,0,0,0
非洲,加彭,0,0,0,0,2,0,0,0,0
非洲,利比亞,1,0,0,0,0,1,0,0,0
非洲,盧安達,1,0,0,0,1,0,0,0,0
非洲,獅子山共和國,1,0,0,0,0,1,0,0,0
非洲,納米比亞,1,0,0,0,0,1,0,0,0
非洲,波札那,1,0,0,0,0,0,0,0,0
非洲,幾內亞,0,0,0,0,0,1,0,0,0
非洲,賴比瑞亞,1,0,0,0,0,0,0,0,0
非洲,馬達加斯加,0,0,0,0,0,1,0,0,0
非洲,茅利塔尼亞,0,0,0,0,0,1,0,0,0
非洲,尼日,0,0,0,0,0,1,0,0,0
歐洲,法國,128,3,0,568,169,813,0,0,0
歐洲,德國,108,0,0,431,136,473,0,0,0
歐洲,英國,72,3,0,39,40,288,0,0,0
歐洲,荷蘭,25,0,0,178,31,156,0,0,0
歐洲,西班牙,39,1,0,107,33,190,0,0,0
歐洲,義大利,29,1,0,99,22,178,0,0,0
歐洲,捷克,32,0,0,91,46,106,0,0,0
歐洲,波蘭,52,0,0,52,21,99,0,0,0
歐洲,瑞典,12,2,0,107,9,79,0,0,0
歐洲,奧地利,34,0,0,54,46,71,0,0,0
歐洲,比利時,12,0,0,64,8,78,0,0,0
歐洲,瑞士,8,1,0,36,6,72,0,0,0
歐洲,芬蘭,9,0,0,54,1,44,0,0,0
歐洲,匈牙利,30,2,0,2,6,47,0,0,0
歐洲,丹麥,6,0,0,26,4,35,0,0,0
歐洲,烏克蘭,32,0,0,1,3,35,0,0,0
