學校類型,學校代碼,學校名稱,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_海青班,境外專班
大專校院,1,國立政治大學,511,653,366,517,119,861,0,0,0
大專校院,2,國立清華大學,564,497,279,78,192,425,0,0,0
大專校院,3,國立臺灣大學,883,1395,474,819,284,953,0,0,0
大專校院,4,國立臺灣師範大學,595,703,147,127,103,4567,0,0,9
大專校院,0004A,國立臺灣師大僑生先修部,0,497,0,0,0,0,0,0,0
大專校院,5,國立成功大學,876,695,188,217,125,1191,0,0,0
大專校院,6,國立中興大學,342,438,42,82,142,132,0,0,0
大專校院,7,國立交通大學,590,397,199,193,210,545,0,0,0
大專校院,8,國立中央大學,560,223,103,127,0,304,0,0,0
大專校院,9,國立中山大學,286,214,66,151,132,781,0,0,0
大專校院,12,國立臺灣海洋大學,128,375,26,11,139,907,0,0,0
大專校院,13,國立中正大學,185,337,41,31,198,0,0,0,0
大專校院,14,國立高雄師範大學,37,128,35,18,82,194,0,0,14
大專校院,15,國立彰化師範大學,47,220,34,17,56,104,0,0,54
大專校院,16,國立陽明大學,114,130,13,1,164,0,0,0,0
大專校院,17,國立臺北大學,48,324,54,41,18,0,0,0,0
大專校院,18,國立嘉義大學,84,341,8,5,3,474,0,0,0
大專校院,19,國立高雄大學,46,122,15,34,79,61,0,0,0
大專校院,20,國立東華大學,337,397,32,28,33,54,0,0,0
大專校院,21,國立暨南國際大學,69,626,20,8,113,0,0,0,0
大專校院,22,國立臺灣科技大學,836,355,208,254,67,0,0,0,12
大專校院,23,國立雲林科技大學,126,264,131,19,0,177,0,0,24
大專校院,24,國立屏東科技大學,312,273,10,4,196,51,0,25,39
大專校院,25,國立臺北科技大學,414,344,168,106,89,155,0,0,0
大專校院,28,國立臺北藝術大學,90,116,51,29,0,0,0,0,0
大專校院,29,國立臺灣藝術大學,73,140,62,26,0,0,0,0,0
大專校院,30,國立臺東大學,14,63,6,0,1,8,0,0,0
大專校院,31,國立宜蘭大學,11,140,10,0,54,0,0,0,0
大專校院,32,國立聯合大學,6,69,16,4,68,71,0,0,0
大專校院,33,國立虎尾科技大學,112,31,20,0,72,0,0,0,0
大專校院,35,國立臺南藝術大學,16,26,11,1,0,0,0,0,0
大專校院,36,國立臺南大學,32,83,23,0,4,0,0,0,0
大專校院,37,國立臺北教育大學,62,165,18,17,48,734,0,0,0
大專校院,39,國立臺中教育大學,76,177,12,14,42,268,0,0,0
大專校院,42,國立澎湖科技大學,17,24,5,1,0,0,0,0,0
大專校院,43,國立勤益科技大學,212,47,18,43,144,181,0,0,0
大專校院,44,國立體育大學,17,59,33,17,34,0,0,0,0
大專校院,46,國立臺北護理健康大學,42,114,1,0,144,0,0,0,0
大專校院,47,國立高雄餐旅大學,118,181,10,20,0,0,0,0,0
大專校院,48,國立金門大學,1,52,123,0,8,0,0,0,0
