年度,洲別,國別,總人數
105,歐洲,英國,"3,815"
105,歐洲,德國,"1,488"
105,歐洲,波蘭,561
105,歐洲,奧地利,419
105,歐洲,俄羅斯,181
105,歐洲,丹麥,33
105,歐洲,比利時,120
105,歐洲,荷蘭,400
105,歐洲,芬蘭,37
105,歐洲,挪威,20
105,歐洲,瑞典,113
105,歐洲,冰島,2
105,美洲,加拿大,"4,827"
105,美洲,美國,"21,127"
105,大洋洲,澳大利亞,"13,582"
105,大洋洲,紐西蘭,"1,106"
105,亞洲,日本,"8,444"
105,亞洲,韓國,265
105,亞洲,泰國,217
105,亞洲,新加坡,9
105,亞洲,馬來西亞,502
105,亞洲,印尼,210
105,亞洲,菲律賓,64
105,亞洲,印度,15
105,亞洲,越南,364
105,亞洲,汶萊,19
105,亞洲,斯里蘭卡,14
105,亞洲,尼泊爾,1
105,亞洲,孟加拉,1
106,歐洲,英國,"3,920"
106,歐洲,法國,"1,004"
106,歐洲,德國,"1,755"
106,歐洲,波蘭,758
106,歐洲,奧地利,456
106,歐洲,捷克,43
106,歐洲,比利時,120
106,歐洲,瑞士,307
106,歐洲,義大利,250
106,歐洲,西班牙,300
106,歐洲,土耳其,36
106,歐洲,愛爾蘭,10
106,歐洲,俄羅斯,172
106,歐洲,丹麥,24
106,歐洲,荷蘭,400
106,歐洲,芬蘭,45
106,歐洲,挪威,7
106,歐洲,瑞典,105
106,美洲,加拿大,"3,202"
106,美洲,美國,"21,127"
106,美洲,巴拿馬,20
106,亞洲,日本,"9,642"
106,亞洲,韓國,242
106,亞洲,泰國,176
106,亞洲,越南,154
106,亞洲,馬來西亞,513
106,亞洲,印尼,16
106,亞洲,印度,13
106,亞洲,以色列,19
106,亞洲,阿拉伯聯合大公國(杜拜地區),21
106,亞洲,約旦,20
106,大洋洲,澳大利亞,"16,573"
106,大洋洲,紐西蘭,"1,820"
107,歐洲,英國,"3,775"
107,歐洲,法國,"1,079"
107,歐洲,德國,"2,013"
107,歐洲,波蘭,758
107,歐洲,奧地利,400
107,歐洲,捷克,26
107,歐洲,荷蘭,408
107,歐洲,比利時,156
107,歐洲,匈牙利,53
107,歐洲,土耳其,30
107,歐洲,愛爾蘭,18
107,歐洲,俄羅斯,146
107,歐洲,丹麥,16
107,歐洲,芬蘭,71
107,歐洲,挪威,20
107,歐洲,瑞典,133
107,美洲,加拿大,"5,330"
107,美洲,美國,"21,516"
107,美洲,智利,1
107,美洲,哥倫比亞,1
107,美洲,聖露西亞,7
107,美洲,聖克里斯多福及尼維斯,1
107,亞洲,日本,"10,347"
107,亞洲,韓國,123
107,亞洲,泰國,199
107,亞洲,越南,60
107,亞洲,馬來西亞,498
107,亞洲,印尼,25
107,亞洲,印度,18
107,亞洲,緬甸,1
107,亞洲,新加坡,2
107,亞洲,科威特,9
107,亞洲,以色列,29
107,亞洲,沙烏地阿拉伯,22
107,亞洲,阿拉伯聯合大公國(杜拜地區),4
107,亞洲,巴林,1
